goos: darwin
goarch: arm64
pkg: github.com/Ixecd/kubepivot/benchmark/eventstream
cpu: Apple M4
BenchmarkColdStart_KubePivot_10000-4   	       3	 339170111 ns/op	40723192 B/op	  880666 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       3	 347833764 ns/op	40723197 B/op	  880666 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       3	 341783833 ns/op	40723192 B/op	  880666 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       3	 341750556 ns/op	40725933 B/op	  880666 allocs/op
BenchmarkParseOnly_ClientGo-4          	   19545	     59759 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   18805	     60556 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   20666	     59748 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   16638	     64942 ns/op	   34737 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   18961	     60529 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   20338	     58640 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   17608	     61971 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   20341	     58676 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   19570	     59878 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_ClientGo-4          	   19713	     60800 ns/op	   34736 B/op	     516 allocs/op
BenchmarkParseOnly_KubePivot-4         	   35096	     35474 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   35082	     34572 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   35085	     34667 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   35271	     33814 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   34039	     37329 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   34477	     39897 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   33638	     36387 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   34395	     34517 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   35329	     34968 ns/op	    4008 B/op	      88 allocs/op
BenchmarkParseOnly_KubePivot-4         	   35253	     33727 ns/op	    4008 B/op	      88 allocs/op
PASS
ok  	github.com/Ixecd/kubepivot/benchmark/eventstream	244.432s
